"","","","","","Table"
"1. REAL SECTOR","","","","",""
"Population and Labour Force","…","…","…","...","1"
"National Output","…","…","…","...","2"
"Prices","…","…","…","...","3"
"2. EXTERNAL SECTOR","","","","",""
"Balance of Payments","…","…","…","...","4"
"Reserves, Total Foreign Assets, External Debt and Exchange Rates","","…","…","...","5"
"3. FISCAL SECTOR","","","","",""
"Government Fiscal Operations","…","…","…","...","6"
"Central Government Debt","…","…","…","...","7"
"4. MONETARY SECTOR","","","","",""
"","","","","",""
"Monetary Survey (M2b)","…","…","…","...","8"
"Interest Rates","…","…","…","...","9"
"5. SOCIO-ECONOMIC CONDITIONS","","","","",""
"Key Socio-Economic Indicators in Sri Lanka Based on","","","","",""
"","Consumer Finances and Socio-Economic Surveys  -1953 - 2003/04","...","...","...","10"
"Key Socio-Economic Indicators by Province Based on","","","","",""
"Consumer Finances and Socio-Economic Survey  - 2003/04","","...","...","...","11"
"Key Socio-Economic Indicators by Province Based on","","","","",""
"Household Income and Expenditure Survey  - 2019","…","...","...","...","12"
"Key Socio-Economic Indicators by Sector","","","","",""
"Based on Household Income and Expenditure Survey","","","","",""
"2012/13, 2016 and 2019","…","...","...","...","13"
